項番,旧項番,種別,単位,グループ,サブグループ,タスク,方法,抽出,対象（ソースコード、AST）,単位,備考,比較対象,表示形式
1,1.1.1.1,ダッシュボード,単一,可視化・UI・フォーム・画面関連,,プログラム名・目的,"IDENTIFICATION DIVISIONのPROGRAM-IDからプログラム名を抽出する, AUTHOR、INSTALLATION、DATE-WRITTEN、REMARKSなどのセクションやコメントからプログラムの目的を抽出する","プログラム名（文字列）, プログラムの目的（文字列）",AST,文字列,コメント内に記載されているプログラムの概要や機能説明も解析する,,テキスト
2,1.1.1.2,ダッシュボード,単一,コード品質・保守性・最適化・規約順守関連,,更新履歴,ソースコード内のコメントブロックから更新履歴情報をパースする,"更新日付（日時）, 更新者（文字列）, 変更内容（文字列）",AST,文字列,更新履歴の記載フォーマット（例：日付、更新者、変更内容）に従って情報を抽出する,更新履歴の記載フォーマットがある場合、比較可能,表形式
3,1.1.1.3,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,行数統計,"ソースコード全体の行数をカウントする, コード行数、コメント行数、空行数をそれぞれカウントする, コメント率を計算する","総行数, コード行数, コメント行数, 空行数, コメント率",コードファイル,"行, %",コメントとコードが同一行にある場合の処理方法を明確にする,コメント率の目標値があれば比較可能,グラフ（パイチャート）、表形式
4,1.1.1.4,ダッシュボード,単一,可視化・UI・フォーム・画面関連,,DIVISION毎の構成比,"各DIVISION（IDENTIFICATION、ENVIRONMENT、DATA、PROCEDURE）の行数をカウントする, 各DIVISIONの全体に対する比率を計算する","各DIVISIONの行数, 各DIVISIONの比率",コードファイル,"行, %",必要に応じて、各SECTIONの行数もカウントする,,グラフ（パイチャート、棒グラフ）、表形式
5,1.1.2.1,ダッシュボード,単一,COBOL言語構造特有の解析項目,,COPY文の使用状況,"COPY文を全て抽出し、その使用箇所とコピー元のファイル名を取得する, 各COPYブックの使用回数を集計する","COPY文の使用回数, COPYブック名の一覧, 各COPYブックの使用回数",AST,"回, 文字列",,COPYブック管理の標準があれば比較可能,表形式
6,1.1.2.2,ダッシュボード,単一,可視化・UI・フォーム・画面関連,,共通モジュールの使用状況,"CALL文や他のモジュール呼び出し構文を解析し、共通モジュールの使用状況を特定する, 呼び出しの種類（静的、動的）や呼び出し箇所（行番号）も解析する","呼び出し先モジュール名, 呼び出し回数, 呼び出しの種類, 呼び出し箇所の一覧",AST,"文字列, 回, 行番号",,モジュール使用のガイドラインがあれば比較可能,表形式
7,1.2.1.1.1,ダッシュボード,単一,COBOL言語構造特有の解析項目,,GOTO文の使用状況,"GOTO文を全て検索し、その使用箇所と頻度を解析する, GOTO文のジャンプ先（ラベル名）を特定する","GOTO文の使用回数, 使用箇所, ジャンプ先",AST,"回, 行番号, 文字列",,コーディング規約でGOTO文の使用が禁止または制限されている場合、比較が必要,テキスト記述、表形式
8,1.2.1.1.2,ダッシュボード,単一,COBOL言語構造特有の解析項目,,PERFORM文のネスト深度,"PERFORM文のネストレベルを解析し、最大ネスト深度を計測する, 平均ネスト深度や各ネストレベルの出現回数も算出する","最大ネスト深度, 平均ネスト深度, 各ネストレベルの出現回数",AST,"レベル数, 回",,ネスト深度の上限値が定められている場合、比較が必要,グラフ（ヒストグラム）、テキスト記述
9,1.2.1.1.3,ダッシュボード,単一,COBOL言語構造特有の解析項目,,条件分岐の複雑性,IF文やEVALUATE文の数とネスト深度を解析し、サイクロマティック複雑度を計算する,"条件分岐の総数, 最大ネスト深度, 平均ネスト深度, サイクロマティック複雑度",AST,"回, レベル数, 数値",,複雑度の許容範囲が定められている場合、比較が必要,グラフ（棒グラフ）、テキスト記述
10,1.2.1.2.1,ダッシュボード,単一,可視化・UI・フォーム・画面関連,,Mermaid記法によるフローチャート,プログラムの制御フローを解析し、Mermaid記法でフローチャートを生成する,フローチャート,AST,Mermaid記法のコード,分岐やループ、手続き呼び出し等を視覚的に表現する,,グラフ（フローチャート図）
