TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,LOGICAL_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,KEY_POSITION,DESCRIPTION
172.16.0.13/cobol_analysis_db,public,analysis_logs,id,,1,,NO,serial,,
172.16.0.13/cobol_analysis_db,public,analysis_logs,timestamp,,2,,YES,timestamp(6) without time zone,,
172.16.0.13/cobol_analysis_db,public,analysis_logs,level,,3,,YES,character varying(10),,
172.16.0.13/cobol_analysis_db,public,analysis_logs,message,,4,,YES,text,,
172.16.0.13/cobol_analysis_db,public,analysis_results,id,,1,,NO,serial,,
172.16.0.13/cobol_analysis_db,public,analysis_results,file_name,,2,,NO,text,,
172.16.0.13/cobol_analysis_db,public,analysis_results,total_lines,,3,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,analysis_results,blank_lines,,4,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,analysis_results,comment_lines,,5,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,analysis_results,file_operations,,6,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,analysis_results,loops,,7,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,analysis_results,nested_levels,,8,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,analysis_results,keyword_counts,,9,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_results,variables,,10,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_results,literals,,11,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_results,dependencies,,12,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_results,perform_statements,,13,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_results,goto_statements,,14,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_results,timestamp,,15,,NO,timestamp(6) without time zone,,
172.16.0.13/cobol_analysis_db,public,analysis_sources,source_id,,1,gen_random_uuid(),NO,uuid,1,
172.16.0.13/cobol_analysis_db,public,analysis_sources,task_id,,2,,YES,uuid,,
172.16.0.13/cobol_analysis_db,public,analysis_sources,file_path,,3,,NO,text,,
172.16.0.13/cobol_analysis_db,public,analysis_sources,file_type,,4,,NO,character varying(20),,
172.16.0.13/cobol_analysis_db,public,analysis_sources,file_hash,,5,,NO,character varying(64),,
172.16.0.13/cobol_analysis_db,public,analysis_sources,file_size,,6,,NO,bigint,,
172.16.0.13/cobol_analysis_db,public,analysis_sources,encoding,,7,,YES,character varying(20),,
172.16.0.13/cobol_analysis_db,public,analysis_sources,line_count,,8,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,analysis_sources,metadata,,9,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_sources,created_at,,10,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,id,,1,,NO,serial,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,task_type,,2,,NO,character varying(20),,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,status,,3,,NO,character varying(20),,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,target_sources,,4,,NO,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,task_parameters,,5,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,error_detail,,6,,YES,text,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,started_at,,7,,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,completed_at,,8,,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,created_at,,9,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,updated_at,,10,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,benchmark_master,id,,1,,NO,serial,,
