TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,PROPERTIE_NAME,PROPERTIE_VALUE
172.16.0.13/cobol_analysis_db,public,analysis_logs,schemaname,public
172.16.0.13/cobol_analysis_db,public,analysis_logs,tablename,analysis_logs
172.16.0.13/cobol_analysis_db,public,analysis_logs,tableowner,cobana_admin
172.16.0.13/cobol_analysis_db,public,analysis_logs,tablespace,
172.16.0.13/cobol_analysis_db,public,analysis_logs,hasindexes,True
172.16.0.13/cobol_analysis_db,public,analysis_logs,hasrules,False
172.16.0.13/cobol_analysis_db,public,analysis_logs,hastriggers,True
172.16.0.13/cobol_analysis_db,public,analysis_logs,rowsecurity,False
172.16.0.13/cobol_analysis_db,public,analysis_results,schemaname,public
172.16.0.13/cobol_analysis_db,public,analysis_results,tablename,analysis_results
172.16.0.13/cobol_analysis_db,public,analysis_results,tableowner,cobana_admin
172.16.0.13/cobol_analysis_db,public,analysis_results,tablespace,
172.16.0.13/cobol_analysis_db,public,analysis_results,hasindexes,True
172.16.0.13/cobol_analysis_db,public,analysis_results,hasrules,False
172.16.0.13/cobol_analysis_db,public,analysis_results,hastriggers,True
172.16.0.13/cobol_analysis_db,public,analysis_results,rowsecurity,False
172.16.0.13/cobol_analysis_db,public,analysis_sources,schemaname,public
172.16.0.13/cobol_analysis_db,public,analysis_sources,tablename,analysis_sources
172.16.0.13/cobol_analysis_db,public,analysis_sources,tableowner,cobana_admin
172.16.0.13/cobol_analysis_db,public,analysis_sources,tablespace,
172.16.0.13/cobol_analysis_db,public,analysis_sources,hasindexes,True
172.16.0.13/cobol_analysis_db,public,analysis_sources,hasrules,False
172.16.0.13/cobol_analysis_db,public,analysis_sources,hastriggers,True
172.16.0.13/cobol_analysis_db,public,analysis_sources,rowsecurity,False
172.16.0.13/cobol_analysis_db,public,analysis_tasks,schemaname,public
172.16.0.13/cobol_analysis_db,public,analysis_tasks,tablename,analysis_tasks
172.16.0.13/cobol_analysis_db,public,analysis_tasks,tableowner,cobana_admin
172.16.0.13/cobol_analysis_db,public,analysis_tasks,tablespace,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,hasindexes,True
172.16.0.13/cobol_analysis_db,public,analysis_tasks,hasrules,False
172.16.0.13/cobol_analysis_db,public,analysis_tasks,hastriggers,True
172.16.0.13/cobol_analysis_db,public,analysis_tasks,rowsecurity,False
172.16.0.13/cobol_analysis_db,public,benchmark_master,schemaname,public
172.16.0.13/cobol_analysis_db,public,benchmark_master,tablename,benchmark_master
172.16.0.13/cobol_analysis_db,public,benchmark_master,tableowner,cobana_admin
172.16.0.13/cobol_analysis_db,public,benchmark_master,tablespace,
172.16.0.13/cobol_analysis_db,public,benchmark_master,hasindexes,True
172.16.0.13/cobol_analysis_db,public,benchmark_master,hasrules,False
172.16.0.13/cobol_analysis_db,public,benchmark_master,hastriggers,False
172.16.0.13/cobol_analysis_db,public,benchmark_master,rowsecurity,False
172.16.0.13/cobol_analysis_db,public,dashboard_master,schemaname,public
172.16.0.13/cobol_analysis_db,public,dashboard_master,tablename,dashboard_master
172.16.0.13/cobol_analysis_db,public,dashboard_master,tableowner,cobana_admin
172.16.0.13/cobol_analysis_db,public,dashboard_master,tablespace,
172.16.0.13/cobol_analysis_db,public,dashboard_master,hasindexes,True
172.16.0.13/cobol_analysis_db,public,dashboard_master,hasrules,False
172.16.0.13/cobol_analysis_db,public,dashboard_master,hastriggers,False
172.16.0.13/cobol_analysis_db,public,dashboard_master,rowsecurity,False
172.16.0.13/cobol_analysis_db,public,document_master,schemaname,public
172.16.0.13/cobol_analysis_db,public,document_master,tablename,document_master
172.16.0.13/cobol_analysis_db,public,document_master,tableowner,cobana_admin
172.16.0.13/cobol_analysis_db,public,document_master,tablespace,
172.16.0.13/cobol_analysis_db,public,document_master,hasindexes,True
172.16.0.13/cobol_analysis_db,public,document_master,hasrules,False
172.16.0.13/cobol_analysis_db,public,document_master,hastriggers,False
172.16.0.13/cobol_analysis_db,public,document_master,rowsecurity,False
172.16.0.13/cobol_analysis_db,public,environment_master,schemaname,public
172.16.0.13/cobol_analysis_db,public,environment_master,tablename,environment_master
172.16.0.13/cobol_analysis_db,public,environment_master,tableowner,cobana_admin
172.16.0.13/cobol_analysis_db,public,environment_master,tablespace,
172.16.0.13/cobol_analysis_db,public,environment_master,hasindexes,True
172.16.0.13/cobol_analysis_db,public,environment_master,hasrules,False
172.16.0.13/cobol_analysis_db,public,environment_master,hastriggers,False
172.16.0.13/cobol_analysis_db,public,environment_master,rowsecurity,False
172.16.0.13/cobol_analysis_db,public,logs,schemaname,public
172.16.0.13/cobol_analysis_db,public,logs,tablename,logs
172.16.0.13/cobol_analysis_db,public,logs,tableowner,cobana_admin
172.16.0.13/cobol_analysis_db,public,logs,tablespace,
172.16.0.13/cobol_analysis_db,public,logs,hasindexes,True
172.16.0.13/cobol_analysis_db,public,logs,hasrules,False
172.16.0.13/cobol_analysis_db,public,logs,hastriggers,False
172.16.0.13/cobol_analysis_db,public,logs,rowsecurity,False
172.16.0.13/cobol_analysis_db,public,metadata,schemaname,public
172.16.0.13/cobol_analysis_db,public,metadata,tablename,metadata
172.16.0.13/cobol_analysis_db,public,metadata,tableowner,cobana_admin
172.16.0.13/cobol_analysis_db,public,metadata,tablespace,
172.16.0.13/cobol_analysis_db,public,metadata,hasindexes,True
172.16.0.13/cobol_analysis_db,public,metadata,hasrules,False
172.16.0.13/cobol_analysis_db,public,metadata,hastriggers,False
172.16.0.13/cobol_analysis_db,public,metadata,rowsecurity,False
172.16.0.13/cobol_analysis_db,public,single_analysis_master,schemaname,public
172.16.0.13/cobol_analysis_db,public,single_analysis_master,tablename,single_analysis_master
172.16.0.13/cobol_analysis_db,public,single_analysis_master,tableowner,cobana_admin
172.16.0.13/cobol_analysis_db,public,single_analysis_master,tablespace,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,hasindexes,True
172.16.0.13/cobol_analysis_db,public,single_analysis_master,hasrules,False
172.16.0.13/cobol_analysis_db,public,single_analysis_master,hastriggers,False
172.16.0.13/cobol_analysis_db,public,single_analysis_master,rowsecurity,False
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,schemaname,public
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,tablename,summary_analysis_master
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,tableowner,cobana_admin
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,tablespace,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,hasindexes,True
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,hasrules,False
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,hastriggers,False
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,rowsecurity,False
