TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,INDEX_NAME,COLUMNS,IS_PRIMARY_KEY,UNIQUE,CREATE_OPTION
172.16.0.13/cobol_analysis_db,public,analysis_logs,analysis_logs_pkey,log_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,analysis_logs,idx_analysis_logs_level,log_level,NO,NO,
172.16.0.13/cobol_analysis_db,public,analysis_logs,idx_analysis_logs_task,task_id,NO,NO,
172.16.0.13/cobol_analysis_db,public,analysis_results,analysis_results_pkey,result_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,analysis_results,idx_analysis_results_task,task_id,NO,NO,
172.16.0.13/cobol_analysis_db,public,analysis_results,idx_analysis_results_type,result_type,NO,NO,
172.16.0.13/cobol_analysis_db,public,analysis_sources,analysis_sources_pkey,source_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,analysis_sources,idx_analysis_sources_task,task_id,NO,NO,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,analysis_tasks_pkey,task_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,idx_analysis_tasks_status,status,NO,NO,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,idx_analysis_tasks_type,task_type,NO,NO,
172.16.0.13/cobol_analysis_db,public,benchmark_master,benchmark_master_pkey,benchmark_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,benchmark_master,benchmark_master_category_sub_category_metric_name_key,"category,sub_category,metric_name",NO,Constraint,
172.16.0.13/cobol_analysis_db,public,dashboard_master,dashboard_master_pkey,dashboard_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,dashboard_master,dashboard_master_dashboard_type_component_type_parameter_na_key,"dashboard_type,component_type,parameter_name",NO,Constraint,
172.16.0.13/cobol_analysis_db,public,document_master,document_master_pkey,document_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,document_master,document_master_document_type_section_type_parameter_name_key,"document_type,section_type,parameter_name",NO,Constraint,
172.16.0.13/cobol_analysis_db,public,environment_master,environment_master_pkey,environment_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,environment_master,environment_master_category_name_key,"category,name",NO,Constraint,
172.16.0.13/cobol_analysis_db,public,logs,logs_pkey,id,YES,YES,
172.16.0.13/cobol_analysis_db,public,logs,idx_logs_file_name,file_name,NO,NO,
172.16.0.13/cobol_analysis_db,public,logs,idx_logs_start_time,start_time,NO,NO,
172.16.0.13/cobol_analysis_db,public,metadata,metadata_pkey,id,YES,YES,
172.16.0.13/cobol_analysis_db,public,metadata,idx_metadata_file_name,file_name,NO,NO,
172.16.0.13/cobol_analysis_db,public,metadata,idx_metadata_start_time,start_time,NO,NO,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,single_analysis_master_pkey,analysis_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,single_analysis_master_analysis_type_process_type_parameter_key,"analysis_type,process_type,parameter_name",NO,Constraint,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,summary_analysis_master_pkey,summary_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,summary_analysis_master_analysis_type_process_type_paramete_key,"analysis_type,process_type,parameter_name",NO,Constraint,
